carrier_id,side,scenario,n_seeds,food_eaten_mean,food_eaten_std,ticks_to_first_food_mean,ticks_to_first_food_std,ticks_alive_mean,ticks_alive_std,final_energy_mean,final_energy_std,distance_traveled_mean,distance_traveled_std,mean_speed_mean,mean_speed_std,mean_speed_while_moving_mean,mean_speed_while_moving_std,moving_fraction_mean,moving_fraction_std,movement_transitions_mean,movement_transitions_std,mean_rest_bout_mean,mean_rest_bout_std,mean_move_bout_mean,mean_move_bout_std,longest_rest_mean,longest_rest_std,longest_move_mean,longest_move_std,mean_abs_turn_mean,mean_abs_turn_std,turns_per_distance_mean,turns_per_distance_std,exploration_rate_mean,exploration_rate_std,steering_alignment_mean,steering_alignment_std,state_dependence_mean,state_dependence_std,bias_over_weights_mean,bias_over_weights_std,energy_efficiency_mean,energy_efficiency_std
1,parent,uniform,10,8.5,1.746424919657298,25.0,12.704329970525798,200.0,0.0,386.15867725182153,69.85752699843901,412.32827657461166,2.2758204132343005,2.0616413828730584,0.011379102066171548,2.0616413828730584,0.011379102066171548,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.10249089194495173,0.008444894409641088,0.04972218087289329,0.004194737450346766,148.0,12.884098726725126,0.778241120926444,0.046784977109078474,1.146957670053917,0.10367491079586304,3.1430536962703886,0.0,10.521759502161153,2.256478187967437
1,cycle,uniform,10,6.5,1.857417562100671,39.8,15.477725931156682,200.0,0.0,305.8561103428026,74.27427180122042,415.98098841905596,1.5491854498239621,2.0799049420952795,0.0077459272491198225,2.0799049420952795,0.0077459272491198225,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.09448402362447086,0.009698210425157089,0.04541672818190455,0.004553926488174322,152.5,14.361406616345072,0.6247041490954045,0.05360361468687602,1.269971005619248,0.0855452671474673,3.1430536962703886,0.0,7.89459118947995,2.3453916784458424
1,parent,ahead,10,25.0,4.0,22.6,6.26418390534633,200.0,0.0,1046.2263633787602,160.1059099481415,415.6089623630047,2.5227379935191236,2.0780448118150234,0.012613689967595607,2.0780448118150234,0.012613689967595607,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.07931885030888225,0.011788096753120295,0.038160792468309945,0.0055803668528982015,151.0,13.379088160259652,0.8291183290712603,0.056844071849710534,1.0950458171490225,0.1263508576625957,3.1430536962703886,0.0,34.015246773387936,6.355707490763871
1,cycle,ahead,10,15.1,6.518435395092905,25.3,6.573431371817918,200.0,0.0,650.0877293377615,260.62056106078967,416.4378231883049,2.179192466056843,2.0821891159415244,0.010895962330284241,2.0821891159415244,0.010895962330284241,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0690379502825308,0.013401696490104184,0.033153255496294255,0.006409964586309685,146.0,15.459624833740307,0.7410711093639708,0.1341415191193889,0.8897776900577555,0.16704862830984432,3.1430536962703886,0.0,19.548533503907656,8.83082059037882
1,parent,behind,10,0.0,0.0,200.0,0.0,200.0,0.0,46.987728109024594,0.0,414.5343750715256,0.0,2.072671875357628,0.0,2.072671875357628,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.008555313739925623,0.0,0.004127673965976623,0.0,160.0,0.0,0.0,0.0,0.0454146923337941,0.0,3.1430536962703886,0.0,0.0,0.0
1,cycle,behind,10,10.8,3.8157568056677826,114.9,6.236184731067546,200.0,0.0,478.2833042723334,152.62938382293157,415.68896141052244,0.573832000841954,2.0784448070526125,0.002869160004209798,2.0784448070526125,0.002869160004209798,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0532247657141852,0.005788679041101745,0.025608598471276993,0.0027900395331008,157.0,6.0,0.7884313696591809,0.08383147128350811,0.8365739082559889,0.0502479164594074,3.1430536962703886,0.0,13.647214182566547,5.092611861957039
1,parent,left_right,10,15.7,6.293647591023825,32.9,5.166236541235796,200.0,0.0,674.3397477898537,251.50710705410256,415.3244310557842,2.148468060321661,2.0766221552789212,0.010742340301608347,2.0766221552789212,0.010742340301608347,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.06940306573564158,0.023309390127687613,0.03340670438641303,0.01117640508067226,146.5,8.381527307120106,0.7234822102448156,0.2628393358235767,0.8339368616729355,0.25417836753481426,3.1430536962703886,0.0,20.49376027014723,8.49664374690554
1,cycle,left_right,10,12.6,6.988562083862459,35.5,5.220153254455275,200.0,0.0,550.2452940836895,279.5098530937156,414.5395410776138,1.8882434334524878,2.072697705388069,0.009441217167262385,2.072697705388069,0.009441217167262385,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.06277288624319771,0.013165862492388996,0.030300267849479014,0.006407828698774586,154.5,9.340770846134703,0.751540992721273,0.163198894788892,0.9667432118964683,0.18017040113984067,3.1430536962703886,0.0,16.28281512990734,9.453620751793398
1,parent,sparse,10,3.5,1.5,55.5,38.247222121351506,200.0,0.0,186.6991296894733,59.918160151093936,414.2516915202141,1.1260169141540661,2.07125845760107,0.005630084570770343,2.07125845760107,0.005630084570770343,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.038828573451653935,0.01169933169176551,0.01874912792036587,0.0056500814873888,153.0,9.797958971132712,0.729407604255901,0.09027475901062307,0.7772115301706644,0.20341260255485416,3.1430536962703886,0.0,4.290996502036481,1.8629036305622417
1,cycle,sparse,10,2.8,1.1661903789690602,83.1,38.080047268878225,200.0,0.0,158.13572736942658,46.60493058194623,416.5456971645355,1.6279845798393966,2.0827284858226776,0.008139922899196947,2.0827284858226776,0.008139922899196947,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0636987772345965,0.011999361205911744,0.030576111555596388,0.005705303262755199,151.5,14.326548781894402,0.4900929219890047,0.10231072374007304,1.1249753505089681,0.15245524411732178,3.1430536962703886,0.0,3.361334859750383,1.415702579480623
1,parent,dense,10,10.7,1.9,23.5,19.70913493789111,200.0,0.0,474.19005769429305,76.02878491658525,412.13588656783105,2.6328589100857123,2.060679432839155,0.01316429455042867,2.060679432839155,0.01316429455042867,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.10031479773173486,0.009522413339831334,0.048697341279957,0.0047808436857241544,144.0,11.575836902790225,0.7437964077828656,0.052521786430330515,1.118037201713031,0.09403158533842008,3.1430536962703886,0.0,13.408810974613901,2.5416256101906836
1,cycle,dense,10,9.7,2.147091055358389,22.1,26.666270830395465,200.0,0.0,433.9925577726602,85.87701127152359,414.8993394970894,1.0856057769984353,2.074496697485447,0.005428028884992192,2.074496697485447,0.005428028884992192,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.08624752524884388,0.007955113839468534,0.04157525819553623,0.0038384360952533844,159.5,5.678908345800274,0.6420159897675596,0.062494744169815784,1.244043219263134,0.09712660168089905,3.1430536962703886,0.0,12.023604480598776,2.785712016996183
1,parent,relocating,10,2.0,4.449719092257398,170.2,55.689855449623856,200.0,0.0,126.82255042286332,177.7897446166533,413.5537903904915,1.50248877886774,2.0677689519524574,0.007512443894338671,2.0677689519524574,0.007512443894338671,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.02997600576118566,0.03301101247242793,0.0145550115248546,0.016070484146352176,155.5,9.069178573608527,0.25443199552434903,0.38884513266160253,0.3125474114976822,0.41084176053572263,3.1430536962703886,0.0,2.5349641233303597,5.7211973460671866
1,cycle,relocating,10,0.6,1.8,185.6,43.2,200.0,0.0,70.3538255291222,71.97686214443539,415.5501487970352,2.102632388760768,2.077750743985176,0.010513161943803917,2.077750743985176,0.010513161943803917,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.04686670310264162,0.013318657054591947,0.022589459181556554,0.006552496761580738,141.0,15.297058540778355,0.26883851919029333,0.4073852604096607,0.4936227473988567,0.37317246637222423,3.1430536962703886,0.0,0.7342602881570521,2.202780864471156
1,parent,smell_blanked,10,8.5,1.746424919657298,25.0,12.704329970525798,200.0,0.0,386.15867725182153,69.85752699843901,412.32827657461166,2.2758204132343005,2.0616413828730584,0.011379102066171548,2.0616413828730584,0.011379102066171548,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.10249089194495173,0.008444894409641088,0.04972218087289329,0.004194737450346766,148.0,12.884098726725126,0.778241120926444,0.046784977109078474,1.146957670053917,0.10367491079586304,3.1430536962703886,0.0,10.521759502161153,2.256478187967437
1,cycle,smell_blanked,10,6.5,1.857417562100671,39.8,15.477725931156682,200.0,0.0,305.8561103428026,74.27427180122042,415.98098841905596,1.5491854498239621,2.0799049420952795,0.0077459272491198225,2.0799049420952795,0.0077459272491198225,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.09448402362447086,0.009698210425157089,0.04541672818190455,0.004553926488174322,152.5,14.361406616345072,0.6247041490954045,0.05360361468687602,1.269971005619248,0.0855452671474673,3.1430536962703886,0.0,7.89459118947995,2.3453916784458424
2,parent,uniform,10,6.8,2.039607805437114,21.9,11.802118453904791,200.0,0.0,318.2950078100909,81.52656862941579,411.056923609972,2.0023429672829627,2.05528461804986,0.010011714836414791,2.05528461804986,0.010011714836414791,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.09521460094116628,0.01633968520879754,0.04635827773988347,0.00815115311739033,144.5,13.865424623862047,0.7252509327107354,0.06390597059324885,1.1573309225862625,0.11589269190582784,3.1430536962703886,0.0,8.381999351576006,2.57489141493698
2,cycle,uniform,10,7.0,1.8439088914585775,24.3,13.505924625881784,200.0,0.0,326.1006883814979,73.7905562388221,409.91466561555865,2.733829258088252,2.049573328077793,0.013669146290441178,2.049573328077793,0.013669146290441178,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.10035783377262124,0.01609970514777548,0.04901055856631168,0.008141545317420779,141.5,8.674675786448736,0.719529513136886,0.03680215864218909,1.1747816580206454,0.10787405678946207,3.1430536962703886,0.0,8.587088070853971,2.333694074246441
2,parent,ahead,10,14.2,5.979966555090421,24.9,5.8898217290508885,200.0,0.0,614.4981889055852,238.99069988686682,409.9373072683811,3.0408764734811617,2.0496865363419055,0.015204382367405837,2.0496865363419055,0.015204382367405837,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.08049457309975697,0.034684870801282554,0.03938160715000597,0.01711740753505615,146.0,22.22611077089287,0.6026465171891036,0.311775497782851,0.7206427913204825,0.22782558623337792,3.1430536962703886,0.0,18.46029546364848,8.127957233834326
2,cycle,ahead,10,16.9,3.726929030716845,24.7,5.367494760127857,200.0,0.0,722.138456663725,148.98285480146967,409.99988899827,3.0277270931576914,2.04999944499135,0.015138635465788468,2.04999944499135,0.015138635465788468,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.09615488863641077,0.02574341461617026,0.046969076809850435,0.01271447108851543,144.0,12.206555615733702,0.7261612578642042,0.19540669812928463,0.8603541027658261,0.2078548117018066,3.1430536962703886,0.0,21.893769222991505,5.13484720466735
2,parent,behind,10,0.0,0.0,200.0,0.0,200.0,0.0,46.952624198142175,0.0,414.73866283893585,0.0,2.073693314194679,0.0,2.073693314194679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.011044265991076828,0.0,0.005325891690674558,0.0,155.0,0.0,0.0,0.0,0.0454146923337941,0.0,3.1430536962703886,0.0,0.0,0.0
2,cycle,behind,10,0.0,0.0,200.0,0.0,200.0,0.0,46.795722443307454,0.0,414.48782819509506,0.0,2.0724391409754754,0.0,2.0724391409754754,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.007988614693749696,0.0,0.003854692056235504,0.0,150.0,0.0,0.0,0.0,0.0454146923337941,0.0,3.1430536962703886,0.0,0.0,0.0
2,parent,left_right,10,8.9,4.763402145525822,34.5,4.631414470763764,200.0,0.0,402.6139236152001,190.3523024011929,409.8421360194683,3.0516600334112045,2.0492106800973415,0.015258300167056055,2.0492106800973415,0.015258300167056055,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.06939695838268381,0.03484623782605222,0.033990375050612844,0.017228857734968395,139.5,20.426698215815495,0.4549056448905905,0.3197992758103308,0.641477518895566,0.20990871743005424,3.1430536962703886,0.0,11.281746565492309,6.157195381849568
2,cycle,left_right,10,11.4,3.6386810797320503,33.1,4.205948168962618,200.0,0.0,502.2296356377899,145.42717011982919,407.7089123904705,2.7745678861712335,2.0385445619523526,0.013872839430856257,2.0385445619523526,0.013872839430856257,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.09849187426900607,0.026061187386228465,0.04839061686344121,0.0129427361383705,135.0,16.431676725154983,0.6704036532085309,0.23256558623109497,0.8232621112194642,0.18537145773760078,3.1430536962703886,0.0,14.393124672903173,4.732966748653588
2,parent,sparse,10,3.3,1.4177446878757824,73.5,53.563513701026,200.0,0.0,178.71222217229987,56.67481873186136,413.61239261627196,1.548951477142754,2.0680619630813597,0.007744757385713743,2.0680619630813597,0.007744757385713743,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.04071581968864484,0.00856003171600062,0.019690320646357996,0.004142191710578894,158.5,6.34428877022476,0.6074918344392013,0.10370565959856519,0.913199455454703,0.14225188546388584,3.1430536962703886,0.0,4.043930288923268,1.7456464125437368
